Time [s],Packet ID,MOSI,MISO
40.392443937499998,55,0b  1  0001  0111  1101  1111  0110  0010,0b  1  1111  1111  1111  1111  1111  1111
42.020941749999999,56,0b  1  0001  0001  1101  0000  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
42.024942875000001,57,0b  1  0001  0001  1101  0000  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
42.028494625000000,58,0b  1  0001  0001  1101  0000  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
43.626538437500002,59,0b  1  0001  0100  1101  1000  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
43.629690875000001,60,0b  1  0001  0100  1101  1000  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
43.634104999999998,61,0b  1  0001  0100  1101  1000  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
45.272875874999997,62,0b  1  0001  0011  0101  0100  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
45.276052437499999,63,0b  1  0001  0011  0101  0100  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
45.280428437499999,64,0b  1  0001  0011  0101  0100  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
46.785606062500001,65,0b  1  0001  0110  0101  1100  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
46.788792312500000,66,0b  1  0001  0110  0101  1100  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
46.793534999999999,67,0b  1  0001  0110  0101  1100  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
48.248773937499998,68,0b  1  0001  0000  0101  0010  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
48.251824562499998,69,0b  1  0001  0000  0101  0010  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
48.256328437500002,70,0b  1  0001  0000  0101  0010  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
50.616400812499997,71,0b  1  0001  0101  1001  1010  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
50.619596937499999,72,0b  1  0001  0101  1001  1010  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
50.624357312500003,73,0b  1  0001  0101  1001  1010  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
52.156297625000001,74,0b  1  0001  0010  1001  0110  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
52.163613249999997,75,0b  1  0001  0010  1001  0110  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
53.760474312500001,76,0b  1  0001  0111  0001  1110  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
53.763523437499998,77,0b  1  0001  0111  0001  1110  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
53.768023624999998,78,0b  1  0001  0111  0001  1110  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
55.350608375000000,79,0b  1  0001  0001  0001  0001  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
55.353688937500003,80,0b  1  0001  0001  0001  0001  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
55.358161750000001,81,0b  1  0001  0001  0001  0001  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
56.863783750000003,82,0b  1  0001  0100  0001  1001  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
56.867382499999998,83,0b  1  0001  0100  0001  1001  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
56.871297499999997,84,0b  1  0001  0100  0001  1001  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
58.539477750000003,85,0b  1  0001  0011  1110  0101  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
58.542606249999999,86,0b  1  0001  0011  1110  0101  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
58.547145000000000,87,0b  1  0001  0011  1110  0101  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
60.227148000000000,88,0b  1  0001  0110  1110  1101  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
60.230225750000002,89,0b  1  0001  0110  1110  1101  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
60.235051312499998,90,0b  1  0001  0110  1110  1101  1110  0010,0b  1  1111  1111  1111  1111  1111  1111
61.682872187500003,91,0b  1  0001  0101  0100  0111  1010  0010,0b  1  1111  1111  1111  1111  1111  1111
61.685922187499997,92,0b  1  0001  0101  0100  0111  1010  0010,0b  1  1111  1111  1111  1111  1111  1111
61.690394812500003,93,0b  1  0001  0101  0100  0111  1010  0010,0b  1  1111  1111  1111  1111  1111  1111
