remote 1.159437 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x12 | 0xff | 0xe0 | 0x03 | 0xf6 | 0x26 | 0x00 | 0x10
remote 1.199373 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x11 | 0xff | 0xe0 | 0x03 | 0xf8 | 0x26 | 0x00 | 0x0f
remote 1.239476 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe1 | 0x03 | 0xf4 | 0x26 | 0x00 | 0x10
remote 1.279460 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe0 | 0x03 | 0xf6 | 0x26 | 0x00 | 0x0f
remote 1.319455 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe1 | 0x03 | 0xf4 | 0x26 | 0x00 | 0x0f
remote 1.359522 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x10 | 0xff | 0xdf | 0x03 | 0xfb | 0x26 | 0x00 | 0x0e
remote 1.399546 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x12 | 0xff | 0xe1 | 0x03 | 0xf4 | 0x26 | 0x00 | 0x11
remote 1.439489 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x11 | 0xff | 0xe0 | 0x03 | 0xf9 | 0x26 | 0x00 | 0x0e
remote 1.479503 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe1 | 0x03 | 0xf6 | 0x26 | 0x00 | 0x0e
remote 1.519526 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x12 | 0xff | 0xe1 | 0x03 | 0xf7 | 0x26 | 0x00 | 0x0e
