remote 1.088577 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xff | 0xff | 0xff | 0x00 | 0x00 | 0x2a | 0x00 | 0x19
remote 1.129403 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x02 | 0x00 | 0x00 | 0x00 | 0x00 | 0x2a | 0x00 | 0x13
remote 1.168598 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x01 | 0xff | 0xfe | 0x2a | 0x00 | 0x17
remote 1.208582 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x02 | 0xff | 0xff | 0x00 | 0x00 | 0x2a | 0x00 | 0x15
remote 1.248523 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xfe | 0x00 | 0x00 | 0xff | 0xff | 0x2a | 0x00 | 0x1a
remote 1.288612 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x02 | 0x00 | 0x00 | 0x00 | 0x00 | 0x2a | 0x00 | 0x13
remote 1.329395 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xfd | 0x00 | 0x00 | 0x00 | 0x00 | 0x2a | 0x00 | 0x19
remote 1.369387 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x02 | 0x00 | 0x01 | 0x00 | 0x00 | 0x2a | 0x00 | 0x12
remote 1.408579 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x2a | 0x00 | 0x15
remote 1.448645 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x01 | 0x00 | 0x00 | 0x2a | 0x00 | 0x14
remote 1.488603 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x01 | 0x00 | 0x00 | 0x00 | 0x02 | 0x2a | 0x00 | 0x12
remote 1.528540 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x01 | 0x00 | 0x01 | 0x00 | 0x01 | 0x2a | 0x00 | 0x12
remote 1.569409 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x02 | 0x00 | 0x01 | 0xff | 0xff | 0x2a | 0x00 | 0x14
remote 1.608539 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xfe | 0xff | 0xff | 0x00 | 0x00 | 0x29 | 0x00 | 0x1b
remote 1.648631 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x02 | 0xff | 0xff | 0xff | 0xff | 0x29 | 0x00 | 0x18
