remote 1.108589 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe6 | 0x03 | 0xfa | 0x2a | 0x00 | 0xfb
remote 1.148555 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe6 | 0x03 | 0xf7 | 0x2a | 0x00 | 0xfd
remote 1.188526 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe6 | 0x03 | 0xf8 | 0x2a | 0x00 | 0xfc
remote 1.229372 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x16 | 0xff | 0xe7 | 0x03 | 0xf6 | 0x2a | 0x00 | 0xfb
remote 1.268514 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe6 | 0x03 | 0xf9 | 0x2a | 0x00 | 0xfc
remote 1.308514 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe6 | 0x03 | 0xf6 | 0x2a | 0x00 | 0xfe
remote 1.348578 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe6 | 0x03 | 0xfa | 0x2a | 0x00 | 0xfb
remote 1.388574 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe7 | 0x03 | 0xf6 | 0x2a | 0x00 | 0xfc
remote 1.428594 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe6 | 0x03 | 0xf9 | 0x2a | 0x00 | 0xfb
remote 1.469407 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x16 | 0xff | 0xe7 | 0x03 | 0xf6 | 0x2a | 0x00 | 0xfb
remote 1.508632 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe5 | 0x03 | 0xf9 | 0x2a | 0x00 | 0xfc
remote 1.548629 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe6 | 0x03 | 0xf6 | 0x2a | 0x00 | 0xfe
remote 1.588598 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe5 | 0x03 | 0xf9 | 0x29 | 0x00 | 0xfe
remote 1.628585 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe6 | 0x03 | 0xf6 | 0x29 | 0x00 | 0xff
remote 1.669400 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe7 | 0x03 | 0xf8 | 0x29 | 0x00 | 0xfb
remote 1.709471 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe7 | 0x03 | 0xfa | 0x29 | 0x00 | 0xfa
remote 1.748733 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe6 | 0x03 | 0xf8 | 0x29 | 0x00 | 0xfd
remote 1.788715 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe5 | 0x03 | 0xfa | 0x29 | 0x00 | 0xfd
remote 1.828737 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe7 | 0x03 | 0xf7 | 0x29 | 0x00 | 0xfd
remote 1.868685 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe5 | 0x03 | 0xf7 | 0x29 | 0x00 | 0x00
remote 1.909468 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x16 | 0xff | 0xe7 | 0x03 | 0xf7 | 0x29 | 0x00 | 0xfb
remote 1.948689 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x12 | 0xff | 0xe5 | 0x03 | 0xfa | 0x29 | 0x00 | 0xfe
remote 1.988761 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe6 | 0x03 | 0xf6 | 0x29 | 0x00 | 0xff
remote 2.028780 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x12 | 0xff | 0xe5 | 0x03 | 0xf9 | 0x29 | 0x00 | 0xff
remote 2.068700 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe7 | 0x03 | 0xf4 | 0x29 | 0x00 | 0x00
remote 2.109471 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe6 | 0x03 | 0xf8 | 0x29 | 0x00 | 0xfd
remote 2.149518 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x16 | 0xff | 0xe6 | 0x03 | 0xf8 | 0x29 | 0x00 | 0xfb
remote 2.188820 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe6 | 0x03 | 0xfa | 0x29 | 0x00 | 0xfc
remote 2.228773 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe6 | 0x03 | 0xf8 | 0x29 | 0x00 | 0xfe
remote 2.268835 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe6 | 0x03 | 0xf7 | 0x29 | 0x00 | 0xfe
remote 2.308836 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe6 | 0x03 | 0xf9 | 0x29 | 0x00 | 0xfc
remote 2.349538 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe7 | 0x03 | 0xf5 | 0x29 | 0x00 | 0xfe
remote 2.389521 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x16 | 0xff | 0xe7 | 0x03 | 0xf9 | 0x29 | 0x00 | 0xf9
remote 2.428848 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe6 | 0x03 | 0xf8 | 0x29 | 0x00 | 0xfc
remote 2.468922 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe5 | 0x03 | 0xf9 | 0x29 | 0x00 | 0xfe
remote 2.508898 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe7 | 0x03 | 0xf4 | 0x29 | 0x00 | 0x00
remote 2.548980 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe6 | 0x03 | 0xf8 | 0x29 | 0x00 | 0xfe
remote 2.589577 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe6 | 0x03 | 0xf5 | 0x29 | 0x00 | 0xff
remote 2.628967 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe5 | 0x03 | 0xf8 | 0x28 | 0x00 | 0xff
remote 2.668970 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe5 | 0x03 | 0xf8 | 0x28 | 0x00 | 0xff
remote 2.708927 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe5 | 0x03 | 0xf6 | 0x28 | 0x00 | 0x01
remote 2.748902 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe7 | 0x03 | 0xf6 | 0x28 | 0x00 | 0xfe
remote 2.789573 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x16 | 0xff | 0xe7 | 0x03 | 0xf8 | 0x28 | 0x00 | 0xfb
remote 2.829564 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe6 | 0x03 | 0xf9 | 0x28 | 0x00 | 0xfc
remote 2.869020 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe5 | 0x03 | 0xf8 | 0x28 | 0x00 | 0xff
remote 2.909047 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe5 | 0x03 | 0xfa | 0x28 | 0x00 | 0xfe
remote 2.949028 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe5 | 0x03 | 0xf8 | 0x28 | 0x00 | 0x00
remote 2.989012 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe6 | 0x03 | 0xf8 | 0x28 | 0x00 | 0xff
remote 3.029553 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe6 | 0x03 | 0xf7 | 0x28 | 0x00 | 0xfe
remote 3.069052 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe5 | 0x03 | 0xf8 | 0x28 | 0x00 | 0x00
remote 3.109076 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe6 | 0x03 | 0xf7 | 0x28 | 0x00 | 0x00
remote 3.149120 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe5 | 0x03 | 0xf8 | 0x28 | 0x00 | 0x00
remote 3.189094 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe7 | 0x03 | 0xf5 | 0x28 | 0x00 | 0x00
remote 3.229655 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe7 | 0x03 | 0xf8 | 0x28 | 0x00 | 0xfc
remote 3.269569 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe7 | 0x03 | 0xf6 | 0x28 | 0x00 | 0xfe
remote 3.309198 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe5 | 0x03 | 0xfa | 0x28 | 0x00 | 0xfe
